num_distr,mouse.time,mouse.clicked_name,,,,,,,,num_distr,mouse.time,mouse.clicked_name
5,[1.3729497999884188],['target'],,,,,,,,10,[1.9884248999878764],['target']
5,[2.494115399895236],['target'],,,,,,,,10,[1.7062852999661118],['target']
5,[1.065331800142303],[],,,,,,,,10,[1.6889838001225144],['target']
5,[1.8683376999106258],['target'],,,,,,,,10,[1.3405365000944585],['target']
5,[2.306372399907559],[],,,,,,,,10,[1.4409046000801027],[]
5,[1.292468500090763],['target'],,,,,,,,10,[2.9999767001718283],['target']
5,[1.0728290998376906],[],,,,,,,,10,[1.7069421000778675],['target']
5,[1.75774580007419],[],,,,,,,,10,[2.7521728000137955],['target']
5,[1.9734957001637667],['target'],,,,,,,,10,[1.3914447000715882],['target']
5,[1.9701576000079513],['target'],,,,,,,,10,[2.3356417000759393],['target']
5,[2.0913553000427783],['target'],,,,,,,,10,[1.5556160998530686],['target']
5,[2.308332399930805],['target'],,,,,,,,10,[1.6228421998675913],['target']
5,[1.760038800071925],[],,,,,,,,10,[1.0254329999443144],['target']
5,[3.1654822998680174],['target'],,,,,,,,10,[1.7879486000165343],['target']
5,[1.714281699853018],['target'],,,,,,,,10,[1.173731799935922],['target']
5,[2.2913305000402033],['target'],,,,,,,,10,[1.644378500059247],['target']
5,[2.3990869999397546],['target'],,,,,,,,10,[2.2030676000285894],['target']
5,[1.8058813998941332],['target'],,,,,,,,10,[2.104194900020957],['target']
5,[1.668980599846691],['target'],,,,,,,,10,[1.7059843998868018],['target']
5,[1.7089180001057684],[],,,,,,,,10,[2.4999623999465257],['target']
5,[2.1375835998915136],[],,,,,,,,10,[1.8546062000095844],['target']
5,[3.408656100044027],['target'],,,,,,,,10,[1.7210339999292046],[]
5,[3.406100600026548],[],,,,,,,,10,[2.5184261999092996],['target']
5,[1.8772764999885112],['target'],,,,,,,,10,[2.0861690000165254],['target']
5,[1.2982714001554996],['target'],,,,,,,,10,[1.7395498999394476],['target']
5,[1.814299700083211],['target'],,,,,,,,10,[2.220067400019616],['target']
5,[1.265742699848488],['target'],,,,,,,,10,[1.6737580997869372],['target']
5,[1.084275099914521],['target'],,,,,,,,10,[1.8546223000157624],['target']
5,[1.979140300070867],['target'],,,,,,,,10,[0.9760150001384318],['target']
5,[1.5650488999672234],['target'],,,,,,,,10,[1.6232038999442011],['target']
5,[1.216442999895662],['target'],,,,,,,,10,[2.0614407998509705],['target']
5,[1.8962245001457632],['target'],,,,,,,,10,[2.6554026000667363],['target']
5,[1.4987544999457896],['target'],,,,,,,,10,[1.4278363001067191],[]
